id,title,slug,author_id,author_name,author_avatar,category_id,category_name,tags,published_at,updated_at,content,excerpt,thumbnail,views,likes,comments_count,comments
1,Mẹo sử dụng laptop số 1,meo-su-dung-laptop-1,6789,Nguyễn Văn A,/pic/def_author_ava.jpg,2,Laptop,"Laptop,Cong nghe,Tin tuc",2025-03-17T10:00:00Z,2025-03-17T12:00:00Z,<p>Chi tiết về mẹo sử dụng laptop số 1...</p>,Tóm tắt về mẹo sử dụng laptop số 1.,/pic/prop_laptop.jpg,8591,104,10,Người dùng 1: Bình luận về mẹo sử dụng laptop số 1.
2,Đánh giá laptop số 2,danh-gia-laptop-2,6789,Nguyễn Văn A,/pic/def_author_ava.jpg,2,Laptop,"Laptop,Cong nghe,Tin tuc",2025-03-17T10:00:00Z,2025-03-17T12:00:00Z,<p>Chi tiết về đánh giá laptop số 2...</p>,Tóm tắt về đánh giá laptop số 2.,/pic/prop_laptop.jpg,7603,120,6,Người dùng 2: Bình luận về đánh giá laptop số 2.
3,Phần mềm hữu ích cho laptop số 3,phan-mem-huu-ich-cho-laptop-3,6789,Nguyễn Văn A,/pic/def_author_ava.jpg,2,Laptop,"Laptop,Cong nghe,Tin tuc",2025-03-17T10:00:00Z,2025-03-17T12:00:00Z,<p>Chi tiết về phần mềm hữu ích cho laptop số 3...</p>,Tóm tắt về phần mềm hữu ích cho laptop số 3.,/pic/prop_laptop.jpg,9184,313,3,Người dùng 3: Bình luận về phần mềm hữu ích cho laptop số 3.
4,Laptop dành cho lập trình viên số 4,laptop-danh-cho-lap-trinh-vien-4,6789,Nguyễn Văn A,/pic/def_author_ava.jpg,2,Laptop,"Laptop,Cong nghe,Tin tuc",2025-03-17T10:00:00Z,2025-03-17T12:00:00Z,<p>Chi tiết về laptop dành cho lập trình viên số 4...</p>,Tóm tắt về laptop dành cho lập trình viên số 4.,/pic/prop_laptop.jpg,15982,422,1,Người dùng 4: Bình luận về laptop dành cho lập trình viên số 4.
5,Phần mềm hữu ích cho laptop số 5,phan-mem-huu-ich-cho-laptop-5,6789,Nguyễn Văn A,/pic/def_author_ava.jpg,2,Laptop,"Laptop,Cong nghe,Tin tuc",2025-03-17T10:00:00Z,2025-03-17T12:00:00Z,<p>Chi tiết về phần mềm hữu ích cho laptop số 5...</p>,Tóm tắt về phần mềm hữu ích cho laptop số 5.,/pic/prop_laptop.jpg,5699,486,1,Người dùng 5: Bình luận về phần mềm hữu ích cho laptop số 5.
6,Đánh giá laptop số 6,danh-gia-laptop-6,6789,Nguyễn Văn A,/pic/def_author_ava.jpg,2,Laptop,"Laptop,Cong nghe,Tin tuc",2025-03-17T10:00:00Z,2025-03-17T12:00:00Z,<p>Chi tiết về đánh giá laptop số 6...</p>,Tóm tắt về đánh giá laptop số 6.,/pic/prop_laptop.jpg,10290,370,8,Người dùng 6: Bình luận về đánh giá laptop số 6.
7,Mẹo sử dụng laptop số 7,meo-su-dung-laptop-7,6789,Nguyễn Văn A,/pic/def_author_ava.jpg,2,Laptop,"Laptop,Cong nghe,Tin tuc",2025-03-17T10:00:00Z,2025-03-17T12:00:00Z,<p>Chi tiết về mẹo sử dụng laptop số 7...</p>,Tóm tắt về mẹo sử dụng laptop số 7.,/pic/prop_laptop.jpg,12254,296,1,Người dùng 7: Bình luận về mẹo sử dụng laptop số 7.
8,Mẹo sử dụng laptop số 8,meo-su-dung-laptop-8,6789,Nguyễn Văn A,/pic/def_author_ava.jpg,2,Laptop,"Laptop,Cong nghe,Tin tuc",2025-03-17T10:00:00Z,2025-03-17T12:00:00Z,<p>Chi tiết về mẹo sử dụng laptop số 8...</p>,Tóm tắt về mẹo sử dụng laptop số 8.,/pic/prop_laptop.jpg,5558,454,8,Người dùng 8: Bình luận về mẹo sử dụng laptop số 8.
9,Đánh giá laptop số 9,danh-gia-laptop-9,6789,Nguyễn Văn A,/pic/def_author_ava.jpg,2,Laptop,"Laptop,Cong nghe,Tin tuc",2025-03-17T10:00:00Z,2025-03-17T12:00:00Z,<p>Chi tiết về đánh giá laptop số 9...</p>,Tóm tắt về đánh giá laptop số 9.,/pic/prop_laptop.jpg,10692,214,4,Người dùng 9: Bình luận về đánh giá laptop số 9.
10,Laptop gaming tốt nhất số 10,laptop-gaming-tot-nhat-10,6789,Nguyễn Văn A,/pic/def_author_ava.jpg,2,Laptop,"Laptop,Cong nghe,Tin tuc",2025-03-17T10:00:00Z,2025-03-17T12:00:00Z,<p>Chi tiết về laptop gaming tốt nhất số 10...</p>,Tóm tắt về laptop gaming tốt nhất số 10.,/pic/prop_laptop.jpg,15928,223,3,Người dùng 10: Bình luận về laptop gaming tốt nhất số 10.
11,Laptop gaming tốt nhất số 11,laptop-gaming-tot-nhat-11,6789,Nguyễn Văn A,/pic/def_author_ava.jpg,2,Laptop,"Laptop,Cong nghe,Tin tuc",2025-03-17T10:00:00Z,2025-03-17T12:00:00Z,<p>Chi tiết về laptop gaming tốt nhất số 11...</p>,Tóm tắt về laptop gaming tốt nhất số 11.,/pic/prop_laptop.jpg,15931,458,13,Người dùng 11: Bình luận về laptop gaming tốt nhất số 11.
12,Laptop mới ra mắt số 12,laptop-moi-ra-mat-12,6789,Nguyễn Văn A,/pic/def_author_ava.jpg,2,Laptop,"Laptop,Cong nghe,Tin tuc",2025-03-17T10:00:00Z,2025-03-17T12:00:00Z,<p>Chi tiết về laptop mới ra mắt số 12...</p>,Tóm tắt về laptop mới ra mắt số 12.,/pic/prop_laptop.jpg,9912,379,15,Người dùng 12: Bình luận về laptop mới ra mắt số 12.
13,Hướng dẫn chọn mua laptop số 13,huong-dan-chon-mua-laptop-13,6789,Nguyễn Văn A,/pic/def_author_ava.jpg,2,Laptop,"Laptop,Cong nghe,Tin tuc",2025-03-17T10:00:00Z,2025-03-17T12:00:00Z,<p>Chi tiết về hướng dẫn chọn mua laptop số 13...</p>,Tóm tắt về hướng dẫn chọn mua laptop số 13.,/pic/prop_laptop.jpg,12117,302,12,Người dùng 13: Bình luận về hướng dẫn chọn mua laptop số 13.
14,Mẹo sử dụng laptop số 14,meo-su-dung-laptop-14,6789,Nguyễn Văn A,/pic/def_author_ava.jpg,2,Laptop,"Laptop,Cong nghe,Tin tuc",2025-03-17T10:00:00Z,2025-03-17T12:00:00Z,<p>Chi tiết về mẹo sử dụng laptop số 14...</p>,Tóm tắt về mẹo sử dụng laptop số 14.,/pic/prop_laptop.jpg,19048,307,6,Người dùng 14: Bình luận về mẹo sử dụng laptop số 14.
15,So sánh laptop số 15,so-sanh-laptop-15,6789,Nguyễn Văn A,/pic/def_author_ava.jpg,2,Laptop,"Laptop,Cong nghe,Tin tuc",2025-03-17T10:00:00Z,2025-03-17T12:00:00Z,<p>Chi tiết về so sánh laptop số 15...</p>,Tóm tắt về so sánh laptop số 15.,/pic/prop_laptop.jpg,8294,231,15,Người dùng 15: Bình luận về so sánh laptop số 15.
